DateID,Date,Day,Month,Quarter,Year,Weekday
1,2025-01-01,1,1,1,2025,2
2,2025-01-02,2,1,1,2025,3
3,2025-01-03,3,1,1,2025,4
4,2025-01-04,4,1,1,2025,5
5,2025-01-05,5,1,1,2025,6
6,2025-01-06,6,1,1,2025,0
7,2025-01-07,7,1,1,2025,1
8,2025-01-08,8,1,1,2025,2
9,2025-01-09,9,1,1,2025,3
10,2025-01-10,10,1,1,2025,4
11,2025-01-11,11,1,1,2025,5
12,2025-01-12,12,1,1,2025,6
13,2025-01-13,13,1,1,2025,0
14,2025-01-14,14,1,1,2025,1
15,2025-01-15,15,1,1,2025,2
16,2025-01-16,16,1,1,2025,3
17,2025-01-17,17,1,1,2025,4
18,2025-01-18,18,1,1,2025,5
19,2025-01-19,19,1,1,2025,6
20,2025-01-20,20,1,1,2025,0
21,2025-01-21,21,1,1,2025,1
22,2025-01-22,22,1,1,2025,2
23,2025-01-23,23,1,1,2025,3
24,2025-01-24,24,1,1,2025,4
25,2025-01-25,25,1,1,2025,5
26,2025-01-26,26,1,1,2025,6
27,2025-01-27,27,1,1,2025,0
28,2025-01-28,28,1,1,2025,1
29,2025-01-29,29,1,1,2025,2
30,2025-01-30,30,1,1,2025,3
31,2025-01-31,31,1,1,2025,4
32,2025-02-01,1,2,1,2025,5
33,2025-02-02,2,2,1,2025,6
34,2025-02-03,3,2,1,2025,0
35,2025-02-04,4,2,1,2025,1
36,2025-02-05,5,2,1,2025,2
37,2025-02-06,6,2,1,2025,3
38,2025-02-07,7,2,1,2025,4
39,2025-02-08,8,2,1,2025,5
40,2025-02-09,9,2,1,2025,6
41,2025-02-10,10,2,1,2025,0
42,2025-02-11,11,2,1,2025,1
43,2025-02-12,12,2,1,2025,2
44,2025-02-13,13,2,1,2025,3
45,2025-02-14,14,2,1,2025,4
46,2025-02-15,15,2,1,2025,5
47,2025-02-16,16,2,1,2025,6
48,2025-02-17,17,2,1,2025,0
49,2025-02-18,18,2,1,2025,1
50,2025-02-19,19,2,1,2025,2
51,2025-02-20,20,2,1,2025,3
52,2025-02-21,21,2,1,2025,4
53,2025-02-22,22,2,1,2025,5
54,2025-02-23,23,2,1,2025,6
55,2025-02-24,24,2,1,2025,0
56,2025-02-25,25,2,1,2025,1
57,2025-02-26,26,2,1,2025,2
58,2025-02-27,27,2,1,2025,3
59,2025-02-28,28,2,1,2025,4
60,2025-03-01,1,3,1,2025,5
61,2025-03-02,2,3,1,2025,6
62,2025-03-03,3,3,1,2025,0
63,2025-03-04,4,3,1,2025,1
64,2025-03-05,5,3,1,2025,2
65,2025-03-06,6,3,1,2025,3
66,2025-03-07,7,3,1,2025,4
67,2025-03-08,8,3,1,2025,5
68,2025-03-09,9,3,1,2025,6
69,2025-03-10,10,3,1,2025,0
